zip_code,latitude,longitude
08020,19.386465,-99.09730942281854
56570,19.3179805,-98.9359407
06020,19.43899665,-99.12844538838831
13360,19.2854256,-99.03523538479372
06240,19.45869985,-99.125164198229
56420,19.3644552,-98.98483441112292
55609,19.7827223,-99.1309689
55290,19.4950344,-99.0299467
56410,19.3573984,-98.9885521
15970,19.4209389,-99.11577303691644
55294,19.5125596,-99.0374358
08720,19.3957241,-99.10660185223006
55715,19.6378597,-99.0943234
01298,19.37183135,-99.2251651845226
55950,19.8743728,-98.776464
05219,19.37456815,-99.284590488844
16810,19.22991975,-99.1036032285989
56200,19.5284397,-98.9117143
09829,19.35069395,-99.09575395307256
54948,19.62389,-99.137679
55240,19.5123493,-99.0330304
10900,19.2938622,-99.24844325726872
07969,19.4564466,-99.08926155453172
54650,19.7088054,-99.2084208
55717,19.633964925,-99.121376675
05320,19.3631451,-99.27823961648774
56613,19.2531417,-98.9762303
55920,19.7276359,-98.7907589
56624,19.2076377,-98.9669736
56643,19.299004333333336,-98.86750776666666
13050,19.264696200000003,-98.98570237301304
03400,19.3973677,-99.14161932760648
52790,19.3760951,-99.3581453
03440,19.38607455,-99.14320787825044
13440,19.2955106,-99.02283664951356
57740,19.393806545454545,-99.02535909090908
08650,19.3922829,-99.11709982989709
07510,19.49611615,-99.07173277585576
55120,19.53933608333333,-99.02977561666668
16720,19.25112775,-99.02768511590004
01530,19.36060225,-99.24733485578616
57840,19.3758861,-98.982206925
13093,19.2558194,-99.00788952868088
15530,19.4326139,-99.09788289901896
56585,19.3293715,-98.8770242
06400,19.4468599,-99.15906639835336
16300,19.2428719,-99.1117210448472
56509,19.352385,-98.9649658
08900,19.3838964,-99.105872673446
56538,19.2944015,-98.8948879
13450,19.29168645,-99.01296551963148
07960,19.4536858,-99.09805380406274
02010,19.48708295,-99.18795777332188
55269,19.5120023,-99.0238871
01269,19.38258495,-99.22637354677524
13410,19.30181375,-99.02155211064226
14500,19.20027375,-99.14679465121318
07530,19.4842967,-99.0796958296664
54894,19.7181642,-99.1352559
14420,19.279861500000003,-99.1768111196211
57170,19.470046557894737,-99.05147634736842
09530,19.3701213,-99.01895348106164
56265,19.4410474,-98.9081587
04369,19.32585315,-99.16749806901684
15820,19.41638845,-99.12452208543554
57150,19.4740957,-99.0579809
10630,19.30012435,-99.26137633346168
14200,19.2855128,-99.22516371107932
15420,19.4479279,-99.10089760957382
